change,変える
surface,外見，うわべ
rate,割合，比率
process,過程
topic,話題，トピック
variety,種類
risk,危険，リスク
amount,量，合計
skill,技能，技術
period,期間
center,中心
sense,感覚
opportunity,機会
effect,影響，効果
public,大衆，一般の人々
transportation,交通機関
atmosphere,雰囲気
attention,注意，注意力
space,場所，空間
behavior,振る舞い，行儀
object,物，物体
company,会社
field,分野，領域
following,次の，以下の
various,さまざまな，多様な
several,いくつかの
local,地元の，現地の
related,関連して
possible,可能な
similar,似ている，同様の
concerned,心配して
available,利用できる，手に入る
dry,雨の少ない，乾燥した
past,過ぎたばかりの，この前の
modern,近代的な，最新の
unique,特有の
common,よくある，普通の
prepare,準備［用意］する
regard,（〜と）思う，考える
occur,（予期せず）起こる
suppose,だと思う，考える
serve,（食事を）出す
wonder,だろうかと思う
reduce,減らす
promote,促進する
survive,生き延びる，切り抜ける
gain,得る
devide,分ける，分かれる
attract,引き寄せる
achieve,達成する
fit,適する，合致する
reveal,明らかにする
wish,願う
fill,満たす
hurt,傷つける，害する
discover,知る，わかる
indicate,示す
overcome,克服する，打ち勝つ
protect,守る，保護する
remove,取り去る，移動させる
rely,当てにする，頼る
bother,わざわざ…する，悩ませる
seek,追い求める
matter,重要［問題］だ
concentrate,集中する，専念する
react,反応［対応］する
struggle,奮闘する
admit,（しぶしぶ）認める
lock,しまい込む，閉じ込める
issue,問題，問題点
relationship,関係
list,リスト，一覧
item,１品，１点
distance,距離
case,場合
opinion,意見，見解
century,世紀
trouble,困難，困ったこと
total,合計
advantage,有利な点，強み
detail,細部
moment,時点
bill,請求書
rest,残り，休み
deal,量，取引
feature,特徴
survey,調査
destination,目的地，行き先
conclusion,結論
attitude,態度，考え方
impact,影響，衝撃
source,源
row,列，並び
assistant,助手，補佐
impression,印象
noise,騒音
sign,兆し，表れ
aim,目的，目標
occasion,（特定の）時，機会
relation,関係，関連
signal,合図
balance,バランス，均衡
track,小道
symbol,象徴，シンボル
circle,円，仲間
leisure,余暇，自由な時間
angle,角度，観点
comfortable,快適な
recent,最近の
real,現実の，実在する
dangerous,危険な
current,現在の，今の
final,最後の
obvious,明らかな
fair,妥当な，適正な
proud,誇りに思って
anxious,切望して，心配して
impossible,不可能な
opposite,反対側の，向かい側の
terrible,ひどい，恐ろしい
thick,厚い
narrow,狭い，細い
actually,実際に，実は
especially,特に，とりわけ
perhaps,もしかしたら
fortunately,幸運にも
less,より少なく
least,最も〜でない
abroad,外国に［で］
overseas,海外へ［に，で］
rather,むしろ
probably,たぶん
easily,たやすく，簡単に
quite,かなり
exactly,正確に，まさに
instead,その代わりに
immediately,直ちに
somewhere,どこかに［へ，で］
gradually,徐々に，だんだんと
simply,単に
indeed,確かに，本当に
whether,…かどうか
also,その上
moreover,その上，さらに
besides,その上
though,でも，だけど
however,しかしながら
although,…だけれども，…にもかかわらず
TRUE,本当の，真実の
because,なぜなら，…なので
therefore,したがって，それゆえ
anyway,いずれにせよ
bring about,〜を引き起こす，もたらす
catch up (with),追いつく
check out,〜を調べる
deal with,〜に対処する，処理する
end up (-ing),最終的には…することになる
figure out,〜を理解する，解決する
fill in,〜に記入する
get rid of,〜を処分する，取り除く
have A in common (with B),（Bと）共通のAを持つ
keep up with,〜に（遅れずに）ついて行く
look to A (for B),Aに（Bを）期待する，当てにする
make sense,意味をなす，理解しやすい
make sure,…を確かめる
make up for,〜の埋め合わせをする，〜を償う
make up one’s mind,決心する
never fail to,必ず…する
result in,〜という結果になる
set off (for),出発する
set out to,…し始める，…しようと試みる
set up,〜を始める，設立する
stay up,（寝ないで）起きている
take advantage of,〜を利用する
take in,〜をだます
take over,〜を引き継ぐ
turn down,〜を拒む，断る
according to,〜によれば
at [from] a distance,離れた所に［から］
by means of,〜によって，〜を用いて
for a moment,少しの間
in a [one] sense,ある意味では
in case of,〜の場合は
in contrast to [with],〜とは対照的に
in one’s opinion [view],〜の考え［意見］では
in terms of,〜の観点から
instead of,〜の代わりに，〜ではなくて
next to,〜の隣に
no more than,わずか〜，たった〜
nothing but,ただ〜だけ
out of order,故障して，調子が悪い
regardless of,〜に関係なく，かまわず
to make matters worse,さらに悪いことに
with ease,容易に
a variety of,いろいろな
as ~ as possible [one can],できるだけ
as if [though],…であるかのように
by the time,…するまでに
even if,たとえ…だとしても
now (that),今や…だから
the moment [minute],…するとすぐに
by the way,ところで，それはそうと
as for,〜については，〜はどうかと言えば
in general,一般に，概して
on the whole,全体的に見て
for example [instance],例えば
in particular,特に，とりわけ
that is (to say),すなわち，より正確に言えば
in other words,言い換えると，つまり
to begin [start] with,まず第一に
in the first place,まず第一に
in addition,その上，さらに
A as well as B,BだけでなくAも
on the other hand,他方では
in spite of,〜にもかかわらず
because of,〜のために，〜が原因で
on account of,〜のために，〜が原因で
due to,〜のために，〜が原因で
thanks to,〜のおかげで
as a result,結果として
in any case [event],いずれにしても
in short,要約すると，手短にいうと
