create,を創り出す
tuition,【主に米】 授業料
intake,摂取量
spectrum,スペクトル
kidney,腎臓
gear,用具(一式)，器具
aisle,(座席間などの)通路
grief,深い悲しみ
destiny,運命
skull,頭骨，頭蓋骨
tomb,墓
monk,修道士，僧
worship,崇拝，礼拝(式)
outstanding,際立った
unprecedented,前例のない
infinite,無限の
worthwhile,価値がある
indispensable,不可欠な
compulsory,義務的な，強制的な
probable,十分にありそうな
ambiguous,あいまいな
obscure,(世に)知られていない
skeptical,(～に)懐疑的な
fragile,壊れやすい
static,静的な
gradual,徐々の，緩やかな
vocal,声の，発声の
vivid,鮮やかな
imperial,帝国の
hostile,敵意のある
superficial,表面的な
scarce,乏しい
gross,総計の
inherent,生来の，本来的に備わっている
notable,注目に値する
update,を最新のものにする
refresh,(気分)をさわやかにする
bloom,花が咲く
conquer,を征服する
induce,を引き起こす
attain,を獲得する，達成する
spray,を吹きかける，に吹きつける
retrieve,(情報)を検索する
portray,を描く
scratch,を引っかく
designate,を指定する
contradict,と矛盾する
sigh,ため息をつく
disrupt,を混乱させる
depart,出発する
navigate,(を)誘導する
beg,に(～を)切に頼む(for)
inhabit,に住んでいる
diagnose,(を)診断する
comprehend,を理解する
oblige,に義務づける
cram,に詰め込む
flock,群がる，集まる
underestimate,(を)過小評価する
clarify,を明確にする
spark,を引き起こす
seize,をつかむ
soar,急上昇する
glow,光り［照り］輝く
disguise,を(～に)変装させる(as)
distort,を歪める
undermine,を徐々にむしばむ
abolish,を廃止する
strip,を［から］取り去る
dispose,〔＋ofで〕を処分する
dump,を投棄する
weave,を織る
refine,を洗練する
enrich,を豊かにする
coordinate,を調整する
headline,(新聞などの)見出し
internship,【米】 実務［医学］研修
outlet,直売店，特売店
remedy,治療(法)
pill,錠剤，丸薬
reception,反応
transaction,(商)取引
mutation,突然変異(体)
dairy,〔集合的に〕乳製品
compassion,同情
posture,姿勢
curse,悪態，ののしりの言葉
funeral,葬式
census,国勢調査
encyclopedia,百科事典
cereal,〔通例～s〕穀物
fragment,断片
patch,(～の)部分，斑点
rubbish,【英】 ごみ
maze,迷路
outlook,見解
breakthrough,大発見，飛躍的進歩
triumph,勝利
ally,同盟国
spectator,(試合などの)観客
sphere,領域
county,【米】 郡
behalf,利益，味方
interval,(時間の)間隔
circulation,循環
blade,刃
theft,窃盗(罪)
vacuum,真空
collision,衝突
bargain,買い得品
landmark,(ある場所の)目印
revenue,歳入
treaty,(国家間の)条約
supreme,最高の
thorough,徹底的な
naked,裸の
sincere,心からの
tame,飼いならされた，人に慣れた
insufficient,不十分な
dim,薄暗い
acute,(痛み・感情などが)激しい
disabled,障害のある
metropolitan,大都市の，首都圏の
monetary,金銭的な
alternate,代わりの
partial,部分的な
divine,神の
drastic,徹底的な，抜本的な
fierce,猛烈な
sole,唯一の
spontaneous,自然発生的な
spatial,空間の
neat,きちんとした
tidy,きちんとした，整頓された
loyal,(～に)忠実な(to)
bless,に恩恵を与える
regain,を取り戻す
conform,順応する
enroll,登録する，入会する
entitle,に権利を与える
halt,を止める
provoke,(感情・行動など)を引き起こす
invade,を侵略する
squeeze,押し入る
crawl,はう
digest,を消化する
utter,(声)を発する
refrain,控える
populate,に住む，の住民である
accommodate,を収容する
steer,(を)操縦する
drown,溺死する
dip,を浸す
soak,を浸す
stir,をかき回す
transplant,を移植する
reassure,を安心させる
resume,(を)再開する
speculate,(と)推測する
surpass,を上回る
appoint,を任命する
intrigue,に興味を持たせる
decay,腐敗する
contaminate,を汚染する
swell,膨張する，腫れる
delete,を削除する，消す
tolerate,を許容する，我慢する
envy,をうらやむ
pray,(を)祈る
confess,(を)告白する
resign,(を)辞任する
dissolve,(を)溶かす
unfold,(閉じたもの)を開く
awaken,を目覚めさせる
conceive,(を)思いつく
entrepreneur,起業家，事業家
stake,利害関係
surplus,余剰，過剰
inflation,インフレ(ーション)
sweatshop,搾取工場
clash,衝突
sociology,社会学
ideology,イデオロギー，思想傾向
margin,余白
realm,領域
domain,分野
algorithm,アルゴリズム
prairie,大草原
frontier,〔通例the ～s〕最先端
bullet,銃弾
shield,盾，防御物
despair,絶望
radiation,放射能，放射線
placebo,偽薬，プラシーボ
nursery,託児所
spouse,配偶者
makeup,化粧
mummy,ミイラ
flesh,(人・動物の)肉
limb,手足
odor,におい
laundry,洗濯(物)
tide,潮(の干満)
questionnaire,アンケート
nonsense,ばかげた物［話，考え］
revenge,復讐
intellect,知性
hospitality,親切なもてなし，歓待
librarian,司書，図書館員
manuscript,(手書きの)原稿
obsession,(考えなどに)取りつかれること
hygiene,衛生(状態)
paradigm,理論的枠組み，パラダイム
legitimate,合法的な
authentic,本物の
empirical,経験的な
immense,膨大な
absurd,ばかげた
weird,異様な，奇妙な
accidental,偶然の
uneasy,不安な
jealous,嫉妬深い
feminine,女らしい
swift,素早い
hollow,空洞の
crude,大まかな
sore,痛い
pessimistic,悲観的な
vain,無駄な
susceptible,(～の)影響を受けやすい(to)
edible,食用の，食べられる
sheer,純然たる，真の
explicit,明白な
prone,(～に)なりやすい(to)
affluent,裕福な
collaborate,共同して働く
exert,を及ぼす
excel,(～で)秀でている(in / at)
prosper,栄える，成功する
surge,殺到する
intervene,(～に)介入する(in)
insert,を挿入する
overtake,を追い抜く
snap,をパチンと鳴らす
carve,を彫る
addict,〔受身形で〕(～の)中毒になる(to)
condemn,を非難する
convict,に有罪を宣告する
dictate,を指図する
prescribe,(薬など)を処方する
inhibit,を抑制する
stray,はぐれる，(道に)迷う
roam,(を)歩き回る
enclose,を同封する
execute,を実行する
coincide,同時に起こる
lag,遅れる
cling,しがみつく
erase,を消す
grind,(穀物など)をひく
knit,を編む
inquire,(を)尋ねる
betray,をうっかり表す
leak,漏れる
smash,を粉砕する
bounce,跳ねる
sprawl,(都市などが)不規則に広がる
converse,(～と)会話をする(with)
recite,を暗唱する
disregard,を無視する
frown,眉をひそめる
evoke,を呼び起こす
pledge,を誓う，約束する
aspire,(～を)熱望する(to)
contemplate,(を)熟考する
grace,優美，優雅
enlightenment,啓蒙，啓発
commerce,商業
draft,下書き
barrel,バレル(液量の単位)
timber,【英】 木材
garment,衣服
thread,糸
cabinet,〔しばしばthe C-〕内閣
bureau,(官庁の)局
autonomy,(個人の)自律
toll,損害(の程度)
discourse,話し合い，会話
superstition,迷信
glimpse,ちらりと見えること
arithmetic,計算
glossary,用語小辞典
archive,〔しばしば～s〕記録文書，公文書
legacy,遺産
anthropology,人類学
rage,激怒
sorrow,悲しみ
psychiatrist,精神科医
ward,行政区
stall,露店
flame,炎
moisture,水分
irony,皮肉
warrior,戦士
astronomy,天文学
probe,(無人)宇宙探査機
altitude,高度，標高
tumor,腫瘍
defect,欠陥
sanitation,公衆衛生(学)
longevity,長寿
scope,(活動・能力などの)範囲
sentiment,感情
plausible,もっともらしい
vigorous,精力的な
masculine,男らしい
rigid,厳しい
adverse,不都合な
coherent,一貫した，筋の通った
literal,文字どおりの
arbitrary,恣意的な
anonymous,匿名の
antique,骨董の，アンティークの
eternal,永遠の
intermediate,中級の
subordinate,(～より)下位の(to)
gloomy,陰気な
thermal,熱の，熱による
faint,かすかな
naive,お人よしの，愚直な
apt,(…する)傾向がある(to do)
arrogant,横柄な，傲慢な
extrovert,外向的な
conspicuous,目立つ
intact,損なわれていない，手つかずの
embody,を具現する
illuminate,を照らす
console,を慰める
verify,の正しさを証明［確認］する
disclose,を公表する，暴く
stack,を積む，積み重ねる
rotate,回転する
constrain,に(…することを)強いる(to do)
hinder,を妨げる
withstand,に耐える
tweet,(を)ツイートする，つぶやく
sneeze,くしゃみをする
erupt,(火山が)噴火する
blur,をぼかす
overlap,(一部)重なる
embed,〔通例受身形で〕埋め込まれる，はめ込まれる
displace,に取って代わる
render,を(ある状態に)する
plunge,(～に)(を)突っ込む(into)
surrender,を放棄する，引き渡す
plug,〔＋inで〕のプラグを電源に差し込む
suck,(を)吸う
mock,をばかにする
tease,(を)からかう
soothe,をなだめる
stain,を汚す
shun,を避ける
stumble,よろけながら歩く
flush,を紅潮させる
impair,を損なう
presume,と思う
contend,と主張する
roar,うなる，ほえる
haunt,(記憶・考えなどが)につきまとう
divert,(注意など)をそらす
await,を待つ
fetch,を(行って)持って［連れて］くる
unify,を統合［統一］する
inspect,を点検する
entail,を伴う，引き起こす
tactics,作戦，方策
feat,偉業，功績
prestige,名声
analogy,類推
conscience,良心
textile,織物
deficit,赤字，不足
plague,疫病
hazard,危険(要素)
metabolism,(新陳)代謝，代謝作用
paralysis,麻痺
grid,(電気などの)供給網
carriage,馬車
friction,不和
rebel,反逆者
regime,政権，政体
monopoly,独占(権)
staple,必需食品
merchandise,商品
vendor,物売り，行商人
supervisor,監督者
predecessor,前任者
personnel,〔集合的に〕職員，社員
vessel,船舶
liver,肝臓
duration,(時間の)継続，持続(時間)
certificate,証明書
geometry,幾何学
symmetry,(左右)対称
biography,伝記
masterpiece,傑作
rhyme,押韻詩
premium,保険料
breakdown,崩壊
courtesy,礼儀正しさ
protocol,(条約)議定書
specimen,標本
thesis,論文
eligible,適格の，資格のある
intrinsic,固有の，本質的な
diligent,勤勉な
vocational,職業の，職業訓練の(ための)
bankrupt,破産宣告を受けた
stern,厳しい
stubborn,頑固な，強情な
maternal,母の，母親らしい
fertile,肥沃な
ripe,熟した
stiff,硬直した，凝った
obsolete,廃れた，使われなくなった
vacant,空いている
acoustic,音響の
preliminary,予備の，準備の
approximate,おおよその
implicit,暗黙の
punctual,時間を守る
compatible,矛盾しない
ample,十分すぎるほどの
pervasive,隅々に広がった
ubiquitous,至る所にある
deduce,を推測する，演繹する
simulate,を模擬実験する
merge,(を)合併する
penetrate,(に)浸透する
cater,(の)料理をまかなう
assault,に暴行する
torture,を拷問にかける
bleed,出血する
erect,を建てる
cherish,を大切にする
arouse,(感情など)を引き起こす
doom,〔通例受身形で〕運命にある
mourn,(を)悼む
dread,をひどく恐れる
nourish,に栄養を与える
inject,(人)に注射する，を注入する
swear,(～を)ののしる(at)
bid,(～に)の値をつける
corrupt,を堕落させる
preoccupy,の心を奪う，を夢中にさせる
browse,(を)拾い読みする
compile,を編集する
allocate,を割り当てる，分配する
offset,を相殺する，埋め合わせる
restrain,を制止する
comply,従う，応じる
expire,期限が切れる
embark,(～に)乗り出す(on)
flap,パタパタ動く
furnish,に(～を)備えつける(with)
forge,を偽造する
thrust,を押しつける
dispatch,を派遣する
resent,に憤慨する
reconcile,を(～と)一致させる(with)
allege,を主張する
oppress,を抑圧［迫害］する
expel,を追放する
ascend,(を)上がる
commence,始まる
advent,〔the ～〕出現，到来
reign,治世
diplomacy,外交(的手腕)
embassy,大使館
exile,亡命(者)
refuge,避難(所)
plight,窮状
solitude,ひとりでいること
fallacy,誤った考え，誤信
latitude,緯度
eclipse,(日食・月食などの)食
basin,流域
erosion,浸食
archaeology,考古学
errand,(人の)使い，使い走り
mercy,慈悲
rhetoric,修辞(法)
verse,韻文
congestion,混雑
sewage,下水
complement,(～の)補完物，補足(to)
subsidy,補助金
mortgage,住宅ローン
attorney,【米】 弁護士
outfit,衣装一式
bulk,〔the ～〕(～の)大半(of)
reunion,再会(の集い)
synthesis,合成
mold,鋳型
thirst,(のどの)渇き
greed,強欲
bribe,賄賂
contempt,軽蔑
texture,感触，手触り
orphan,孤児
harassment,嫌がらせ，ハラスメント
hay,干し草
doctrine,教義
holistic,全体論の
liable,しがちな
earnest,まじめな，熱心な
intelligible,(簡単に)理解できる
abrupt,突然の
reckless,無謀な
furious,激怒した
eloquent,雄弁な
juvenile,青少年の
notorious,悪名高い
timid,臆病な
humid,湿気のある
contagious,感染(性)の
cynical,冷笑的な，皮肉な
dumb,ばかげた
monotonous,単調な
perpetual,永続的な
dizzy,目まいがする
weary,疲れ果てた
numb,麻痺した，無感覚な
mortal,致命的な
zealous,熱心な
